"cntry","happy","health","brncntr","gndr","agea"
"AT",7,1,"Nacido en el país","Mujer",42
"AT",8,2,"Nacido en el país","Hombre",46
"AT",7,2,"Nacido en el país","Hombre",53
"AT",6,2,"Nacido en el país","Mujer",33
"AT",9,1,"Nacido en el país","Hombre",23
"AT",9,3,"Nacido en el país","Hombre",73
"AT",8,3,"No nacido en el país","Hombre",55
"AT",9,2,"Nacido en el país","Mujer",64
"AT",9,2,"Nacido en el país","Mujer",76
"AT",9,1,"Nacido en el país","Hombre",57
"AT",8,1,"Nacido en el país","Hombre",69
"AT",9,1,"Nacido en el país","Mujer",47
"AT",10,1,"Nacido en el país","Mujer",57
"AT",8,2,"Nacido en el país","Mujer",57
"AT",7,3,"Nacido en el país","Hombre",90
"AT",0,2,"Nacido en el país","Hombre",44
"AT",8,2,"Nacido en el país","Mujer",73
"AT",6,3,"Nacido en el país","Mujer",78
"AT",9,1,"Nacido en el país","Mujer",72
"AT",5,3,"Nacido en el país","Mujer",54
"AT",8,2,"Nacido en el país","Mujer",24
"AT",7,3,"Nacido en el país","Mujer",42
"AT",5,1,"Nacido en el país","Hombre",17
"AT",9,2,"Nacido en el país","Mujer",59
"AT",8,4,"Nacido en el país","Mujer",81
"AT",8,2,"Nacido en el país","Mujer",50
"AT",6,1,"Nacido en el país","Hombre",45
"AT",7,2,"Nacido en el país","Hombre",62
"AT",5,2,"Nacido en el país","Mujer",71
"AT",9,2,"Nacido en el país","Hombre",58
"AT",7,1,"Nacido en el país","Hombre",53
"AT",10,3,"Nacido en el país","Mujer",54
"AT",8,2,"Nacido en el país","Mujer",65
"AT",8,1,"Nacido en el país","Mujer",29
"AT",10,1,"Nacido en el país","Mujer",29
"AT",8,3,"Nacido en el país","Mujer",67
"AT",6,2,"Nacido en el país","Hombre",69
"AT",8,3,"Nacido en el país","Hombre",25
"AT",8,2,"Nacido en el país","Hombre",44
"AT",10,2,"Nacido en el país","Mujer",70
"AT",7,4,"No nacido en el país","Mujer",61
"AT",5,3,"Nacido en el país","Mujer",64
"AT",9,1,"Nacido en el país","Hombre",56
"AT",9,3,"Nacido en el país","Hombre",71
"AT",8,2,"No nacido en el país","Hombre",74
"AT",8,2,"Nacido en el país","Mujer",19
"AT",8,3,"Nacido en el país","Hombre",48
"AT",8,2,"Nacido en el país","Mujer",39
"AT",9,1,"Nacido en el país","Hombre",69
"AT",8,3,"Nacido en el país","Hombre",81
"AT",10,3,"Nacido en el país","Mujer",80
"AT",5,3,"Nacido en el país","Mujer",34
"AT",8,2,"Nacido en el país","Mujer",81
"AT",7,1,"Nacido en el país","Hombre",57
"AT",8,1,"Nacido en el país","Mujer",30
"AT",8,3,"Nacido en el país","Mujer",70
"AT",9,3,"Nacido en el país","Mujer",77
"AT",7,1,"Nacido en el país","Mujer",66
"AT",8,2,"Nacido en el país","Hombre",54
"AT",9,1,"Nacido en el país","Hombre",68
"AT",8,3,"Nacido en el país","Mujer",70
"AT",9,2,"Nacido en el país","Mujer",53
"AT",7,2,"Nacido en el país","Hombre",52
"AT",10,2,"Nacido en el país","Hombre",76
"AT",8,2,"Nacido en el país","Mujer",77
"AT",7,2,"Nacido en el país","Mujer",40
"AT",10,1,"Nacido en el país","Mujer",50
"AT",5,2,"Nacido en el país","Mujer",60
"AT",7,2,"Nacido en el país","Mujer",73
"AT",6,3,"Nacido en el país","Hombre",65
"AT",9,2,"No nacido en el país","Hombre",58
"AT",10,1,"Nacido en el país","Hombre",89
"AT",1,1,"Nacido en el país","Hombre",48
"AT",10,3,"Nacido en el país","Mujer",84
"AT",8,3,"Nacido en el país","Mujer",41
"AT",9,3,"Nacido en el país","Mujer",86
"AT",8,3,"Nacido en el país","Mujer",60
"AT",9,2,"Nacido en el país","Hombre",61
"AT",7,2,"Nacido en el país","Hombre",51
"AT",9,1,"Nacido en el país","Hombre",36
"AT",3,1,"Nacido en el país","Mujer",40
"AT",7,3,"Nacido en el país","Mujer",57
"AT",10,2,"No nacido en el país","Hombre",75
"AT",7,3,"Nacido en el país","Mujer",90
"AT",9,1,"Nacido en el país","Hombre",65
"AT",5,4,"Nacido en el país","Hombre",45
"AT",3,1,"Nacido en el país","Mujer",47
"AT",6,2,"Nacido en el país","Mujer",26
"AT",8,3,"Nacido en el país","Mujer",75
"AT",6,2,"Nacido en el país","Hombre",35
"AT",6,2,"Nacido en el país","Mujer",52
"AT",10,1,"Nacido en el país","Mujer",28
"AT",7,2,"Nacido en el país","Hombre",56
"AT",2,4,"Nacido en el país","Hombre",67
"AT",5,3,"Nacido en el país","Mujer",63
"AT",6,3,"Nacido en el país","Mujer",81
"AT",8,2,"Nacido en el país","Hombre",64
"AT",9,2,"Nacido en el país","Mujer",51
"AT",7,1,"Nacido en el país","Mujer",21
"AT",8,3,"Nacido en el país","Mujer",66
"AT",10,1,"Nacido en el país","Mujer",17
"AT",9,1,"No nacido en el país","Hombre",18
"AT",5,1,"Nacido en el país","Hombre",52
"AT",8,2,"Nacido en el país","Mujer",76
"AT",10,2,"Nacido en el país","Mujer",22
"AT",10,1,"No nacido en el país","Hombre",19
"AT",8,3,"Nacido en el país","Hombre",51
"AT",5,3,"Nacido en el país","Hombre",43
"AT",9,3,"Nacido en el país","Mujer",58
"AT",8,2,"Nacido en el país","Mujer",41
"AT",9,3,"Nacido en el país","Mujer",80
"AT",8,1,"Nacido en el país","Hombre",47
"AT",9,1,"Nacido en el país","Mujer",52
"AT",8,2,"Nacido en el país","Hombre",73
"AT",9,1,"Nacido en el país","Hombre",53
"AT",9,2,"Nacido en el país","Mujer",61
"AT",9,3,"Nacido en el país","Hombre",77
"AT",10,1,"No nacido en el país","Hombre",33
"AT",8,1,"Nacido en el país","Mujer",44
"AT",7,1,"Nacido en el país","Mujer",64
"AT",10,3,"Nacido en el país","Mujer",56
"AT",10,2,"No nacido en el país","Hombre",32
"AT",8,2,"Nacido en el país","Mujer",54
"AT",5,2,"Nacido en el país","Mujer",52
"AT",8,1,"Nacido en el país","Mujer",35
"AT",7,3,"Nacido en el país","Hombre",69
"AT",10,2,"Nacido en el país","Mujer",34
"AT",10,1,"No nacido en el país","Hombre",48
"AT",7,1,"Nacido en el país","Mujer",26
"AT",6,3,"Nacido en el país","Mujer",85
"AT",9,3,"Nacido en el país","Mujer",57
"AT",9,3,"Nacido en el país","Mujer",69
"AT",NA,4,"Nacido en el país","Mujer",83
"AT",8,2,"Nacido en el país","Hombre",66
"AT",10,2,"Nacido en el país","Hombre",71
"AT",9,2,"Nacido en el país","Hombre",82
"AT",7,3,"Nacido en el país","Hombre",85
"AT",8,2,"Nacido en el país","Mujer",74
"AT",10,1,"No nacido en el país","Mujer",27
"AT",9,1,"Nacido en el país","Mujer",60
"AT",8,2,"Nacido en el país","Mujer",55
"AT",9,1,"Nacido en el país","Hombre",57
"AT",6,2,"Nacido en el país","Hombre",52
"AT",7,3,"Nacido en el país","Hombre",49
"AT",10,1,"Nacido en el país","Mujer",41
"AT",9,2,"Nacido en el país","Hombre",76
"AT",8,2,"Nacido en el país","Hombre",41
"AT",8,3,"Nacido en el país","Mujer",85
"AT",7,1,"Nacido en el país","Hombre",21
"AT",10,2,"Nacido en el país","Hombre",76
"AT",5,3,"Nacido en el país","Mujer",88
"AT",8,3,"Nacido en el país","Mujer",76
"AT",9,1,"Nacido en el país","Hombre",33
"AT",8,2,"Nacido en el país","Mujer",66
"AT",8,4,"Nacido en el país","Hombre",84
"AT",8,2,"Nacido en el país","Mujer",89
"AT",7,1,"Nacido en el país","Mujer",33
"AT",7,1,"Nacido en el país","Mujer",28
"AT",5,2,"Nacido en el país","Mujer",34
"AT",9,2,"Nacido en el país","Hombre",44
"AT",7,1,"Nacido en el país","Hombre",51
"AT",7,1,"Nacido en el país","Hombre",37
"AT",7,2,"Nacido en el país","Hombre",24
"AT",8,3,"Nacido en el país","Mujer",76
"AT",9,2,"Nacido en el país","Hombre",69
"AT",5,4,"Nacido en el país","Hombre",82
"AT",8,1,"Nacido en el país","Mujer",64
"AT",7,3,"Nacido en el país","Mujer",83
"AT",8,2,"Nacido en el país","Mujer",25
"AT",8,1,"Nacido en el país","Mujer",60
"AT",5,3,"Nacido en el país","Mujer",74
"AT",6,2,"No nacido en el país","Mujer",31
"AT",9,2,"Nacido en el país","Hombre",44
"AT",10,1,"Nacido en el país","Mujer",52
"AT",8,2,"Nacido en el país","Mujer",75
"AT",9,1,"Nacido en el país","Hombre",20
"AT",3,2,"Nacido en el país","Mujer",36
"AT",3,1,"Nacido en el país","Hombre",44
"AT",8,2,"Nacido en el país","Mujer",41
"AT",0,5,"Nacido en el país","Hombre",75
"AT",7,2,"Nacido en el país","Mujer",48
"AT",8,1,"Nacido en el país","Mujer",30
"AT",9,2,"Nacido en el país","Mujer",58
"AT",9,3,"Nacido en el país","Hombre",72
"AT",8,2,"Nacido en el país","Mujer",24
"AT",9,2,"Nacido en el país","Mujer",46
"AT",8,1,"Nacido en el país","Mujer",22
"AT",9,1,"Nacido en el país","Mujer",20
"AT",10,2,"Nacido en el país","Hombre",23
"AT",7,2,"Nacido en el país","Mujer",24
"AT",7,3,"Nacido en el país","Mujer",34
"AT",8,2,"Nacido en el país","Mujer",72
"AT",5,2,"Nacido en el país","Mujer",57
"AT",8,3,"Nacido en el país","Hombre",89
"AT",6,3,"Nacido en el país","Mujer",77
"AT",7,3,"Nacido en el país","Mujer",90
"AT",8,2,"Nacido en el país","Mujer",79
"AT",8,2,"Nacido en el país","Mujer",26
"AT",10,1,"Nacido en el país","Mujer",40
"AT",9,1,"Nacido en el país","Mujer",28
"AT",9,2,"Nacido en el país","Mujer",64
"AT",5,1,"Nacido en el país","Mujer",15
"AT",8,2,"Nacido en el país","Mujer",49
"AT",8,2,"Nacido en el país","Mujer",30
"AT",9,1,"Nacido en el país","Hombre",61
"AT",9,2,"Nacido en el país","Mujer",76
"AT",9,1,"Nacido en el país","Mujer",53
"AT",7,1,"Nacido en el país","Mujer",30
"AT",9,2,"Nacido en el país","Mujer",76
"AT",8,1,"Nacido en el país","Hombre",29
"AT",7,4,"Nacido en el país","Mujer",72
"AT",9,2,"Nacido en el país","Hombre",58
"AT",7,2,"Nacido en el país","Mujer",63
"AT",7,2,"Nacido en el país","Hombre",18
"AT",6,2,"Nacido en el país","Hombre",57
"AT",10,1,"Nacido en el país","Mujer",59
"AT",7,2,"Nacido en el país","Hombre",57
"AT",8,2,"Nacido en el país","Mujer",81
"AT",8,2,"Nacido en el país","Mujer",47
"AT",9,2,"Nacido en el país","Mujer",60
"AT",6,3,"Nacido en el país","Hombre",67
"AT",5,3,"No nacido en el país","Hombre",72
"AT",10,1,"Nacido en el país","Mujer",42
"AT",8,4,"Nacido en el país","Hombre",76
"AT",7,1,"Nacido en el país","Hombre",54
"AT",8,1,"No nacido en el país","Mujer",64
"AT",10,1,"No nacido en el país","Mujer",35
"AT",1,3,"Nacido en el país","Mujer",15
